先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
いる:いる | verb | to need, to want
今:いま | adjective | now, the present time, just now, soon, immediately, (one) more
大丈夫:だいじょうぶ | adjective | safe, all right, alright, OK, okay, sure, certainly, surely, undoubtedly, great man, fine figure of a man
この:この | determiner | this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker)
とーく:とーく | noun | talk (esp. by a talk-show host, or by a stage musician to the audience between songs), banter, chat, talk show, toque
届いてる:とどいてる | verb | to reach, to arrive, to get through, to get at, to be attentive, to pay attention, to be delivered, to carry (e.g. sound)
あつこ:あつこ | noun | bad fox
うん:うん | interjection | yes, yeah, uh huh
そう:そう | adverb | so, really, seeming, appearing that, seeming that, looking like, having the appearance of
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
よ:よ | postposition | indicates certainty, emphasis, contempt, request, etc., used when calling out to someone, used to catch one's breath or get someone's attention, yo!
おはよう:おはよう | interjection | good morning
おはよう:おはよう | interjection | good morning
もう:もう | adverb | now, soon, shortly, before long, presently, already, yet, by now, (not) anymore, further, more, again, another, the other, interjection used to strengthen expression of an emotion (often exasperation)
そろそろ:そろそろ | adverb | slowly, quietly, steadily, gradually, gingerly, soon, momentarily, before long, any time now
夜:よる | adjective | evening, night
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
けど:けど | postposition | but, however, although
おはよう:おはよう | interjection | good morning
私たち:わたしたち | pronoun | we, us
今:いま | adjective | now, the present time, just now, soon, immediately, (one) more
あっち:あっち | pronoun | that way (direction distant from both speaker and listener), over there, yonder, that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that, that person (someone physically distant from both speaker and listener, or s...
こっち:こっち | pronoun | this way (direction close to the speaker or towards the speaker), this direction, here (place close to the speaker or where the speaker is), this one (something physically close to the speaker), I, me, we, us, this person (someone physically close to the speaker and of equal or higher status)
を:を | postposition | indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.
転々:てんてん | noun | moving from place to place, being passed around repeatedly, rolling about
としてて:としてて | postposition | as (i.e. in the role of), for (i.e. from the viewpoint of), apart from... (used to change the topic), even (e.g. "not even a single person"), thinking that..., trying to...
一つ:ひとつ | noun | one, for one thing, only, (not) even, just (e.g. "just try it")
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
場所:ばしょ | noun | place, location, spot, position, room, space, basho, wrestling tournament
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
長居し:ながいし | verb | long visit, overstaying
ちゃいけない:ちゃいけない | postposition | tea, tea plant (Camellia sinensis), tea preparation, making tea, brown, mockery
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
それ:それ | pronoun | that (indicating an item or person near the listener, the action of the listener, or something on their mind), it, that time, then, there (indicating a place near the listener), you
と:と | postposition | if, when, and, with, particle used for quoting (with speech, thoughts, etc.), quoting particle, promoted pawn, indicates question (sentence end)
みんな:みんな | pronoun | all, everyone, everybody, everything
ばらばら:ばらばら | adverb | scattered, disperse, loose, disconnected, in pieces, in drops, rustling
で:で | postposition | indicates location of action, at, in, indicates time of action, indicates means of action, cause of effect, by, and then, so, indicates continuing action, indicates certainty, emphasis, etc.
いる:いる | verb | to need, to want
事:こと | noun | thing, matter, incident, occurrence, event, something serious, trouble, crisis, circumstances, situation, state of affairs, work, business, affair, after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to, nominalizing suffix, pretending to ..., playin...
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
多くて:おおくて | adjective | many, numerous
一:いち | number | one, best, first, foremost, beginning, start, bottom string (on a shamisen, etc.)
人:にん | suffix | -ian (e.g. Italian), -ite (e.g. Tokyoite), indicates nationality, race, origin, etc., -er (e.g. performer, etc.), person working with ..., indicates expertise (in a certain field), (usu. in compound words) man, person, people
で:で | postposition | indicates location of action, at, in, indicates time of action, indicates means of action, cause of effect, by, and then, so, indicates continuing action, indicates certainty, emphasis, etc.
いる:いる | verb | to need, to want
と:と | postposition | if, when, and, with, particle used for quoting (with speech, thoughts, etc.), quoting particle, promoted pawn, indicates question (sentence end)
退屈な:たいくつな | adjective | tedium, boredom
の:の | noun | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
会う:あう | verb | to meet, to encounter, to see, to have an accident, to have a bad experience
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
こっち:こっち | pronoun | this way (direction close to the speaker or towards the speaker), this direction, here (place close to the speaker or where the speaker is), this one (something physically close to the speaker), I, me, we, us, this person (someone physically close to the speaker and of equal or higher status)
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
来てくれない:きてくれない | verb | to come (spatially or temporally), to approach, to arrive, to come back, to do ... and come back, to come to be, to become, to get, to grow, to continue, to come from, to be caused by, to derive from, to come to (i.e. "when it comes to spinach ...")
と:と | postposition | if, when, and, with, particle used for quoting (with speech, thoughts, etc.), quoting particle, promoted pawn, indicates question (sentence end)
難しい:むずかしい | adjective | difficult, hard, troublesome, complicated, serious (disease, problem, etc.), fussy, particular, fastidious, hard to please, displeased, gloomy, glum, sullen, serious (look), dirty, unclean, filthy, detestable, unpleasant, uncomfortable, creepy, spooky
要するに:ようするに | adverb | in a word, after all, the point is ..., in short ..., to put simply, the long and short of it is that ....
退屈:たいくつ | noun | tedium, boredom
だ:だ | verb | be, is, indicates past or completed action, indicates light imperative
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
会おう:あおう | verb | to meet, to encounter, to see, to have an accident, to have a bad experience
って:って | postposition | casual quoting particle, indicates supposition, if ... then, indicates a rhetorical question, indicates certainty, insistence, etc.
捉え方:とらえかた | verb | 
で:で | postposition | indicates location of action, at, in, indicates time of action, indicates means of action, cause of effect, by, and then, so, indicates continuing action, indicates certainty, emphasis, etc.
良い:よい | adjective | good, excellent, fine, nice, pleasant, agreeable, sufficient (can be used to turn down an offer), ready, prepared, profitable (e.g. deal, business offer, etc.), beneficial, OK
うん:うん | interjection | yes, yeah, uh huh
その:その | determiner | that (something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener), the, um..., er..., uh...
通り:とおり | noun | avenue, street, way, road, coming and going, street traffic, flow (of water, air, etc.), transmission (of sound), reach (e.g. of voice), fame, reputation, popularity, the same status or way, as (e.g. as expected, as I said), understanding, comprehension, counter for sets of things, counter for metho...
じゃあ:じゃあ | postposition | then, well, so, well then, combination of 'de' and 'wa' particles, plain copula
後で:あとで | adverb | afterwards
廃墟:はいきょ | noun | ruins, abandoned building
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
中:なか | noun | inside, in, among, within, center (centre), middle, during, while
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
お姫様:おひめさま | noun | princess, spoiled girl, hothouse flower, glue
すーっ:すーっ | adverb | suit
ごしごし:ごしごし | adverb | scrubbing, rubbing briskly, rasping
えっ:えっ | interjection | Huh?, What's up?
と:と | postposition | if, when, and, with, particle used for quoting (with speech, thoughts, etc.), quoting particle, promoted pawn, indicates question (sentence end)
おはよう:おはよう | interjection | good morning
あつこ:あつこ | noun | bad fox
あ:あ | interjection | Ah! (expression of surprise, recollection, etc.), Oh!, Hey! (to get someone's attention)
ごめん:ごめん | interjection | your pardon, declining (something), dismissal, permission
